"Customer Name","Location Name","Date","Program Name","Class Name","Component Type","Component ID","Component Name","Component Description","Performance Result Type","Rep Scheme","Fully Formatted Result","From Weightlifting Total","From Variable Set","Is Rx","Is Rx Plus","Is Personal Record","Personal Record Description","Comment"
"CrossFit Yarmouth","CrossFit Yarmouth",03/08/2022,"CrossFit","CrossFit: 4:30 PM","Metcon",24586650,"Metcon","4 rounds for time:
400/500-m row
15 push presses (95/135 lb)

","Time",,"13:00",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",03/17/2022,"CrossFit","CrossFit: 4:30 PM","Metcon",24671771,"Metcon","EMOM for 5:
3 squat cleans
Building to a heavy triple","Weight",,"115 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"Did 120 but no form "
"CrossFit Yarmouth","CrossFit Yarmouth",03/23/2022,"CrossFit","HOME WOD","Metcon",24757856,"Metcon","3 rounds for time:
12 power snatches (95/65)
10 bar facing burpees","Time",,"7:30",FALSE,FALSE,FALSE,FALSE,FALSE,,"75# "
"CrossFit Yarmouth","CrossFit Yarmouth",03/29/2022,"CrossFit","CrossFit: 5:30 PM","Metcon",24850059,"Metcon","11 rounds for time:
200 m run
5 pull ups
5 push ups
10 air squats
weight vest optional
","Time",,"23:10",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",04/01/2022,"CrossFit","CrossFit: 9:00 AM","Metcon",24851074,"Metcon","15 burpees, jumping over the barbell
5 clean and jerks (155/225 lb)
12 burpees, jumping over the barbell
4 clean and jerks
9 burpees, jumping over the barbell
3 clean and jerks","Time",,"6:30",FALSE,FALSE,FALSE,FALSE,FALSE,,"115# "
"Dirigo Fitness","Dirigo Fitness",08/20/2018,"Adult Athlete","5:30 P.M","Weightlifting",25,"Bench Press",,"Weight",,"1 x 3 @ 135 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",09/04/2018,"Adult Athlete","5:30 P.M","Weightlifting",25,"Bench Press",,"Weight",,"1 x 1 @ 155 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 20 lbs vs. 135 on 08/20/2018",
"Dirigo Fitness","Dirigo Fitness",09/10/2018,"Adult Athlete","6:00 AM","Weightlifting",25,"Bench Press",,"Weight",,"4 x 10 @ 105 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"31x1"
"Dirigo Fitness","Dirigo Fitness",10/15/2018,"Adult Athlete","6:00P.M","Weightlifting",25,"Bench Press",,"Weight",,"1 x 8 @ 15 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"3 down 1 hold"
"Dirigo Fitness","Dirigo Fitness",10/22/2018,"Adult Athlete","6:00P.M","Weightlifting",25,"Bench Press",,"Weight",,"1 x 8 @ 115 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 100 lbs vs. 15 on 10/15/2018","31x1"
"Dirigo Fitness","Dirigo Fitness",11/19/2018,"Adult Athlete","6:00P.M","Weightlifting",25,"Bench Press",,"Weight","4 x 6(31x1) rest 2 mins between sets","1 x 6 @ 125 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",11/26/2018,"Adult Athlete","6:00P.M","Weightlifting",25,"Bench Press",,"Weight","5 x 5/5/3/3/2  rest 2 mins between sets","1 x 2 @ 135 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",12/18/2018,"Adult Athlete","6:00P.M","Weightlifting",25,"Bench Press",,"Weight","1 RM(20x0)","1 x 1 @ 155 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Beacon & Yarmouth Community Fitness","Beacon & Yarmouth Community Fitness",03/13/2019,"Strict Strength and Skills"," 5:45 Core FUNction","Weightlifting",25,"Bench Press",,"Weight",,"1 x 6 @ 135 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 10 lbs vs. 125 on 11/19/2018",
"CrossFit Yarmouth",,12/18/2019,,,"Weightlifting",25,"Bench Press",,"Weight",,"5 x 5 @ 125 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth",,10/24/2019,,,"Weightlifting",25,"Bench Press",,"Weight",,"1 x 1 @ 155 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth",,06/09/2021,,,"Weightlifting",25,"Bench Press",,"Weight","50# dumbbells ","3 x 10 @ 100 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",06/21/2021,"CrossFit","CrossFit: 5:30 PM","Weightlifting",25,"Bench Press",,"Weight","8-8-8-8","4 x 8 @ 125 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",08/30/2021,"CrossFit","CrossFit: 4:30 PM","Weightlifting",25,"Bench Press",,"Weight","3-2-1-3-2-1","1 x 1 @ 160 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 5 lbs vs. 155 on 10/24/2019","2 x 155 was easy. failed at 165"
"CrossFit Yarmouth","CrossFit Yarmouth",10/12/2021,"CrossFit","CrossFit: 4:30 PM","Weightlifting",25,"Bench Press",,"Weight","5-3-1-5-3-1","1 x 1 @ 165 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 5 lbs vs. 160 on 08/30/2021","4x 155"
"CrossFit Yarmouth",,10/12/2021,,,"Weightlifting",25,"Bench Press",,"Weight",,"2 x 4 @ 155 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,," "
"CrossFit Yarmouth","CrossFit Yarmouth",03/08/2022,"CrossFit","CrossFit: 4:30 PM","Weightlifting",25,"Bench Press",,"Weight","3-3-3-3-3","5 x 4 @ 140 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"Did 5 reps often "
"CrossFit Yarmouth","CrossFit Yarmouth",03/23/2022,"CrossFit","HOME WOD","Weightlifting",25,"Bench Press",,"Weight","3-3-3-3-3","5 x 3 @ 135 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"Could have done 140"
